placa,timestamp
EG1617,2025-11-26 21:12:03
EE46138,2025-11-26 21:12:04
EEU6138,2025-11-26 21:12:04
6516129,2025-11-26 21:12:05
0646128,2025-11-26 21:12:05
6546178,2025-11-26 21:12:05
6516128,2025-11-26 21:12:05
EGU6128,2025-11-26 21:12:06
656128,2025-11-26 21:12:06
65176138,2025-11-26 21:12:06
646138,2025-11-26 21:12:07
EG16129,2025-11-26 21:12:07
L576138,2025-11-26 21:12:07
6576128,2025-11-26 21:12:08
0516133,2025-11-26 21:12:08
56128,2025-11-26 21:12:08
516128,2025-11-26 21:12:09
6516128,2025-11-26 21:12:09
676138,2025-11-26 21:12:10
6516138,2025-11-26 21:12:11
16128,2025-11-26 21:14:15
66128,2025-11-26 21:14:15
EGV6728,2025-11-26 21:14:15
LEGV6728,2025-11-26 21:14:16
EGV6228,2025-11-26 21:14:17
EGV6738,2025-11-26 21:14:18
EGV6128,2025-11-26 21:14:18
EGV6728,2025-11-26 21:14:19
